sys.exec.out.time {s},target.sat.pos_eci[0] {m},target.sat.vel_eci[0] {m/s},target.sat.pos_eci[1] {m},target.sat.vel_eci[1] {m/s},target.sat.pos_eci[2] {m},target.sat.vel_eci[2] {m/s},chaser.sat.pos_eci[0] {m},chaser.sat.vel_eci[0] {m/s},chaser.sat.pos_eci[1] {m},chaser.sat.vel_eci[1] {m/s},chaser.sat.pos_eci[2] {m},chaser.sat.vel_eci[2] {m/s},chaser.sat.attNav.qHat[0] {--},chaser.sat.attNav.qHat[1] {--},chaser.sat.attNav.qHat[2] {--},chaser.sat.attNav.qHat[3] {--},chaser.sat.thruster.thrustAcc_eci[0] {m/s2},chaser.sat.imu.dVel[0] {m/s},chaser.sat.thruster.thrustAcc_eci[1] {m/s2},chaser.sat.imu.dVel[1] {m/s},chaser.sat.thruster.thrustAcc_eci[2] {m/s2},chaser.sat.imu.dVel[2] {m/s},chaser.sat.thruster.dVAccumulated {m/s},chaser.sat.guidance.currentWaypoint {--},chaser.sat.imu.isValid {--},chaser.sat.rangefinder.range {m},chaser.sat.rangefinder.azimuth {rad},chaser.sat.rangefinder.elevation {rad},chaser.sat.rangefinder.isValid {--},chaser.sat.relNav.xHat[0] {m},chaser.sat.relNav.xHat[1] {m},chaser.sat.relNav.xHat[2] {m},chaser.sat.relNav.xHat[3] {m/s},chaser.sat.relNav.xHat[4] {m/s},chaser.sat.relNav.xHat[5] {m/s}
                  21,   6876279.258962889,  -176.9197528798425,   159850.3785593319,   7610.552056196451,                   0,                   0,   6876283.035574569,  -176.0430146850282,   159057.8936170707,   7610.588647491626,  -608.8297346488467, 0.01566467661961257,  0.9999381800651461,0.0008058551865104646,-0.0001227410067396541,  0.0110892551628619,                   0,-0.002015231044238847,                   0, 0.00363285379726055,                   0, 0.00330424870962171,                   0,0,1,   999.3560868592594,   1.553075985959641,  0.6550165622473715,1,   13.53742520590144,   793.3553670169596,   607.5481414428524,-0.05467115687325157, 0.02687642723024452,-0.09145975334398723
                  22,    6876098.12763004,  -185.3428758327624,   167460.8311558291,   7610.351583035643,                   0,                   0,   6876102.780950657,  -184.4661963269833,   166668.3832896114,   7610.389143810403,  -608.8136970741359, 0.01641046952692117,  0.9999303891959835,0.0007983558882701139,-9.093409213670664e-05, 0.01177162355987982,                   0, -0.0021579870365375,                   0,-0.004544781395671777,                   0, 0.00136679508594275,                   0,0,1,   999.3229779564226,   1.553492631914979,  0.6543003126503598,1,   13.43066232730667,   793.4478501618552,   607.3732831135375,-0.05802275689085613, 0.03130349955383883,-0.09757491450728578
                  23,   6875908.573286898,  -193.7657717463175,   175071.0786179204,   7610.141787426475,                   0,                   0,   6875914.103257235,  -192.8891520005906,   174278.6687971732,   7610.180317575609,  -608.7969137164933, 0.01715624233164925,  0.9999214055622133,0.0006909611623731938,-0.0002749199555360194, 0.01251517839177214,                   0,0.002082685398555095,                   0,0.004881012347845578,                   0,-0.003207089917615879,                   0,0,1,   999.2911740651463,   1.552655227302501,  0.6552408086360448,1,   13.48742588517399,   793.4223373330535,   607.3475577501591,-0.05147322755660173, 0.02751304253532871,-0.09347418468182507
                  24,   6875710.596165668,  -202.1884303027174,   182681.1116232847,   7609.922669625946,                   0,                   0,   6875717.002725424,  -201.3118713878549,   181888.7408173296,    7609.96216904305,  -608.7793845964786, 0.01790199412023617,  0.9999121933184608,0.000589568210955722,-0.0003837219857085402, 0.01323294448817982,                   0,-0.001446970772594072,                   0,0.005108964670752045,                   0,-0.004536753263005244,                   0,0,1,   999.2621415535361,   1.553166419235773,  0.6556332546222366,1,   13.51343269723253,   793.3472464104162,   607.3884454776834,-0.04793135281833544, 0.02112917344625733,-0.08575033045492395
                  25,   6875504.196508853,  -210.6108411844627,   190290.9208498643,   7609.694229902455,                   0,                   0,   6875511.479596665,  -209.7343441710698,   189498.5900279156,    7609.73469847996,  -608.7611097355643, 0.01864772397914706,  0.9999057356992511,0.0002995510040624774,-0.0005523764741034322, 0.01371586180909649,                   0,-0.003377654039964853,                   0,-0.004060257828589872,                   0,0.001610864372324953,                   0,0,1,    999.216365343226,   1.551462561461509,  0.6547102532194771,1,   13.75299411471608,    793.298029534287,   607.3856366655825,-0.03202196864858814, 0.01647136734938173,-0.08119252368579814
                  26,   6875289.374569294,  -219.0329940743571,   197900.4969758749,   7609.456468535837,                   0,                   0,    6875297.53412272,  -218.1565600328314,   197108.2071070389,   7609.497906164995,  -608.7420891561358, 0.01939343099487396,  0.9998953510766274,0.0001108196643880055,-0.0005695296407618119, 0.01445511156436584,                   0,-0.003126095258068738,                   0,0.006623175595082966,                   0,0.0004599683222335392,                   0,0,1,   999.1637621229178,    1.55366147234276,  0.6545967790515085,1,   13.83753476050994,   793.2238668488378,   607.4156080153924,-0.02490707064168134, 0.01136035154962791,-0.07577097025149704
                  27,   6875066.130610136,  -227.4548786555202,   205509.8306798184,   7609.209385817347,                   0,                   0,   6875075.166565676,  -226.5785086560498,   204717.5827330916,   7609.251792388209,  -608.7223228814937, 0.02013911425393678,  0.9998858655811381,-0.0001498143334139426,-0.0006146519781844145, 0.01509488554674391,                   0,0.002152797121223944,                   0, 0.00521079699080938,                   0,-0.002174274707613937,                   0,0,1,   999.1485438254308,   1.551470987457149,  0.6552052621972771,1,   14.06429505095783,   793.0696165044689,   607.5505543059769, -0.0129108623280611,0.001883724766090188,-0.06466813881622389
                  28,   6874834.464904862,  -235.8764846114008,   213118.9126404933,   7608.952982049655,                   0,                   0,   6874844.377197925,  -235.0001797239636,   212326.7075847616,   7608.996357451111,  -608.7018109358509, 0.02088477284288465,  0.9998720613639778,-0.0003678612290824644,-0.0009171198978627342,  0.0159651017209142,                   0,0.001057917821198377,                   0,-0.0007338421165729478,                   0,-0.00494779580498021,                   0,0,1,   999.1014540277193,   1.551014601574207,  0.6553161896513914,1,   14.43128952611285,   792.8821496704699,   607.7212258670236,0.005546134730867297,-0.008756095688127295,-0.05262683228182394
                  29,   6874594.377737228,  -244.2978016257885,   220727.7335370061,   7608.687257546847,                   0,                   0,    6874605.16630218,  -243.4215629201503,   219935.5723410444,     7608.7316016666,  -608.6805533443357, 0.02163040584829684,  0.9998615901455868,-0.0003277633331209054,-0.0008561878250176808, 0.01661204578443944,                   0,0.005260173962828817,                   0,0.0001894345373313928,                   0,0.003675897773290889,                   0,0,1,   999.0724349543465,   1.552883469620676,  0.6552082753031888,1,   14.58084765338921,   792.7242201842737,   607.8614558183116, 0.01137874505738253,-0.01659547897538466,-0.04338391762883356
                  30,   6874345.869401362,  -252.7188193828274,   228336.2840487837,   7608.412212634424,                   0,                   0,   6874357.534171475,  -251.8426479285412,   227544.1676812538,   7608.457525359007,  -608.6585501329871, 0.02237601235678404,  0.9998516740778731,-0.0001683062546171952,-0.0006807329500798316, 0.01720866407743336,0.003196966861749471,0.0004939803062178471, 0.01289891122283345,0.0007369548652840461,0.006956830611013679,0.001710208201510484,0.0001500000000000234,0,1,   999.0241687256332,   1.553624621948331,  0.6549793382392293,1,   14.66466728787772,   792.6181424815812,   607.9330427204437, 0.01437112011503114,-0.02111431350350042,-0.03842168267789525
