sys.exec.out.time {s},target.sat.pos_eci[0] {m},target.sat.vel_eci[0] {m/s},target.sat.pos_eci[1] {m},target.sat.vel_eci[1] {m/s},target.sat.pos_eci[2] {m},target.sat.vel_eci[2] {m/s},chaser.sat.pos_eci[0] {m},chaser.sat.vel_eci[0] {m/s},chaser.sat.pos_eci[1] {m},chaser.sat.vel_eci[1] {m/s},chaser.sat.pos_eci[2] {m},chaser.sat.vel_eci[2] {m/s},chaser.sat.attNav.qHat[0] {--},chaser.sat.attNav.qHat[1] {--},chaser.sat.attNav.qHat[2] {--},chaser.sat.attNav.qHat[3] {--},chaser.sat.thruster.thrustAcc_eci[0] {m/s2},chaser.sat.imu.dVel[0] {m/s},chaser.sat.thruster.thrustAcc_eci[1] {m/s2},chaser.sat.imu.dVel[1] {m/s},chaser.sat.thruster.thrustAcc_eci[2] {m/s2},chaser.sat.imu.dVel[2] {m/s},chaser.sat.thruster.dVAccumulated {m/s},chaser.sat.guidance.currentWaypoint {--},chaser.sat.imu.isValid {--},chaser.sat.rangefinder.range {m},chaser.sat.rangefinder.azimuth {rad},chaser.sat.rangefinder.elevation {rad},chaser.sat.rangefinder.isValid {--},chaser.sat.relNav.xHat[0] {m},chaser.sat.relNav.xHat[1] {m},chaser.sat.relNav.xHat[2] {m},chaser.sat.relNav.xHat[3] {m/s},chaser.sat.relNav.xHat[4] {m/s},chaser.sat.relNav.xHat[5] {m/s}
                   0,             6878137,                   0,                   0,    7612.60817322387,                   0,                   0,    6878618.89398346,  0.8812412288579355,  -796.2182952557564,    7612.07482094009,  -365.8068087995974,-1.225965536770859e-13,  0.9999688882227308,-0.007793553720412837,-0.0007732761457454147,-0.0009408246411384505,                   0,0.000147872270700883,                   0,0.001335492523813237,                   0, 0.00123380527826477,                   0,0,1,   999.9999446034831,   2.115144800430364,  0.3745901478562979,1,  -482.9387358384616,   789.5574395720274,   378.9382826821201,0.0002407939436074891,   1.066344732867389,0.0004244664047615799
                   1,   6878132.787246077,  -8.425506989393018,   7612.606619021705,    7612.60351061756,                   0,                   0,   6878615.563060932,  -7.543085608959803,   6815.855459486749,   7612.071134778376,  -365.8065847956014,0.0004480079455016057,  0.9999944170609568,-0.003176896958127377,-0.0009164897813824186,  0.0004829276501013,                   0,-0.001296553472664518,                   0,0.001326803239631628,                   0,-0.005210417154205096,                   0,0,1,   1000.850907521851,   2.115084470357073,  0.3748831907880037,1,  -482.2851101998337,   792.4778784540789,   375.6303771813453, 0.03413549197567004,   1.055119230388516,-0.06058887300513254
                   2,   6878120.148989466,  -16.85100365779716,   15225.20391283268,   7612.589522804351,                   0,                   0,   6878603.807815323,  -15.96740321038439,   14427.92086676923,   7612.058126021736,  -365.8059127838889,0.0008960153425362682,  0.9999941759788469,-0.003150017003793618,-0.0006443637863596884,0.001144638184473568,                   0,0.003385918926579705,                   0,-0.004371392246581412,                   0,-0.0006178139587111855,                   0,0,1,   1001.705886425126,   2.116245318455725,  0.3728132807536129,1,  -482.6743650668432,   794.2096676287306,   373.7234153992447,0.002205306064181699,   1.102749122196061,  -0.111176562914672
                   3,   6878099.085245645,  -25.27647968423626,   22837.78255623369,   7612.566209801372,                   0,                   0,   6878583.628261026,  -24.39170126022096,   22039.96860400375,   7612.035794686089,  -365.8047927652819, 0.00134402164241665,  0.9999904520302094,-0.003961194856483869,-0.0007727438832965524,0.001675604552766695,                   0,0.0007604066373612804,                   0,0.0007166047180804004,                   0,-0.001509254782001098,                   0,0,1,    1002.54704990261,   2.112803346201874,  0.3726136026736466,1,  -482.2316030174052,   795.7837386488502,   373.2009078730306, 0.03560354954076495,   1.140984044225058,  -0.140861847659322
                   4,   6878069.596040417,  -33.70192474775939,   30450.33322404824,    7612.53357163718,                   0,                   0,   6878555.024422755,   -32.8159694432985,   29651.98934862407,    7612.00414079877,  -365.8032247411525,0.001792026296579348,  0.9999885111665134,-0.00429166586138384,-0.0004223287818378106,0.002093030700671369,                   0,-0.001622573153358267,                   0,-0.00207525183250112,                   0,-0.001192223545044973,                   0,0,1,   1003.405271817467,   2.113061571390725,  0.3742724415231469,1,  -482.1127505243837,    796.906551035557,   373.2429040934904, 0.04052756096948969,   1.134776008784491, -0.1103923301021738
                   5,    6878031.68140991,  -42.12732852745354,   38062.84659113416,   7612.491608351756,                   0,                   0,   6878517.996335528,   -41.2401974444825,   37263.97377809686,    7611.96316439852,    -365.80120871342,0.002240028756462976,  0.9999929618414211,-0.002689704480657599,-0.0002640727384238054,0.002602311091660603,                   0,0.005929026872292638,                   0,-0.001945673410136955,                   0,0.003548704940014642,                   0,0,1,   1004.236913596756,   2.112523128731626,  0.3730395462855841,1,   -482.111611978352,   798.2866972901656,   372.5579893960218, 0.03835396792372107,   1.166896523637465,  -0.183565068971616
                   6,    6877985.34140056,  -50.55268070245634,   45675.31333239505,   7612.440319996502,                   0,                   0,   6878472.544044687,  -49.66437494868772,   44875.91256993341,   7611.912865535503,  -365.7987446845538,0.002688028473508831,  0.9999908209529547,-0.002532025485614754,-0.0003390864729843225,0.003439749575155512,                   0,-0.001271701942198601,                   0,0.0003855397010216762,                   0,-0.005598383315434582,                   0,0,1,   1005.089953131774,   2.110936554254417,  0.3726332770817941,1,  -481.8092466443218,   799.8406449100866,   371.8998997855005, 0.07460393191261112,   1.217839590490289, -0.2455649992656685
                   7,   6877930.576069137,  -58.97797095196852,   53287.72412279139,   7612.379706634258,                   0,                   0,   6878418.667605894,  -58.08849164089059,   52487.79640170069,   7611.853244271268,  -365.7958326575705, 0.00313602489916156,  0.9999893607944084,-0.002212167874230205,-0.0002949057158337189,0.004037033800418628,                   0,0.0008487744159182469,                   0,-0.001223905420626503,                   0,  0.0025430660615483,                   0,0,1,   1005.952978250286,   2.111634161724477,  0.3733977130993244,1,  -481.7474952145163,   801.1727922077758,   371.4203316587081, 0.07111500967287446,    1.23084399729763, -0.2744254954606104
                   8,   6877867.385482735,   -67.4031889552668,   60900.06963735247,   7612.309768339263,                   0,                   0,   6878356.367085112,  -66.51253720614187,   60099.61595103308,   7611.784300678795,  -365.7924726360358,0.003584017484869834,  0.9999878766431997,-0.002141515946670111,-0.0002853888565285143,0.004424819688496629,                   0,0.008060593720617999,                   0,0.001824528484346497,                   0,0.005162511953255383,                   0,0,1,   1006.786636193129,   2.109061174009351,  0.3729472662730942,1,  -481.3829975307555,   802.6452628344769,    371.007007294819,   0.111139586863749,   1.262136261082042, -0.2926257408144677
                   9,   6877795.769718755,  -75.82832439171631,   68512.34055118744,   7612.230505197198,                   0,                   0,   6878285.642558625,  -74.93650132957937,   67711.36189564358,   7611.706034842466,  -365.7886646240642,0.004032005682087034,  0.9999857498015966,-0.001297565887246205,-2.527835821952794e-06,0.005178466000364876,                   0,-0.003953514754872095,                   0,0.002615969224255479,                   0,-0.003039857025194514,                   0,0,1,   1007.638873126329,   2.110906886897279,  0.3699543517384704,1,  -481.6225662272794,   804.1528463773326,   369.7374122445169, 0.06761906393317857,   1.292167141797031, -0.4146320816259604
                  10,   6877715.728864911,  -84.25336694078331,   76124.52753949679,   7612.141917305143,                   0,                   0,   6878206.494113034,  -83.36037369644036,    75323.0249133352,   7611.618446858071,  -365.7844086263175,0.004479988942271892,  0.9999825684101276,-0.001236275564311886,9.650842793056287e-05, 0.00577279695962086,                   0,-0.001178736580207214,                   0,0.0008928642215557302,                   0,-0.001682620649196686,                   0,0,1,   1008.499998525667,   2.109582103437974,  0.3714048083166169,1,  -481.6452921313798,   805.5662259978552,   368.9576052028021, 0.05638692879472715,   1.305859234356031, -0.4588321527864868
                  11,   6877627.263019267,  -92.67830628204791,   83736.62127758376,   7612.044004771628,                   0,                   0,   6878118.921845255,  -91.78414399207458,   82934.59568201264,   7611.521536832814,  -365.7797046480078,0.004927966716889187,  0.9999795153416566,-0.00146002527691962,0.0001184931022494881,0.006230825197444338,                   0, 0.00226261152953576,                   0,0.003934730253094198,                   0,0.005691594299498298,                   0,0,1,   1009.348114806389,   2.109824990500317,  0.3709488961112239,1,  -481.8582207158131,   806.7673547607352,   368.3853987290315, 0.02548305802567458,   1.293818477367525, -0.4728824176933327
                  12,   6877530.372290182,  -101.1031320952166,   91348.61244086592,   7611.936767716578,                   0,                   0,   6878022.925862519,  -100.2078019019564,   90546.06487969337,   7611.415304885311,  -365.7745526948951,0.005375938457410394,  0.9999753914303475,-0.000714433279707757,0.0002670571812884917,0.006973865447092051,                   0, 0.00778643583608335,                   0,0.0007638119622616043,                   0,0.0005576167470122383,                   0,0,1,   1010.215868620608,   2.109188069285783,   0.370022848915125,1,    -482.04242050763,   808.1432321201638,   367.4793933510812,0.002085947623901598,   1.302246606467076, -0.5209382369446615
                  13,   6877425.056796356,  -109.5278340601349,   98960.49170488674,   7611.820206271366,                   0,                   0,   6877918.506282364,  -108.6313371116977,   98157.42318451912,   7611.299751145591,  -365.7689527732874,0.005823903615314379,  0.9999708112006978,-0.0006153428894579153,0.0003293407379414797,0.007608523800657281,                   0,-0.0008236916208135611,                   0,-0.001481349197658255,                   0,-0.003946676616661553,                   0,0,1,   1011.019151554569,    2.10627246992868,  0.3698866053151875,1,  -481.6522088026929,   809.6829209163826,   366.9201402980657, 0.04559413047249498,     1.3258052328872, -0.5217145502882981
                  14,   6877311.316666788,  -117.9524018568002,   106572.2497453262,   7611.694320578781,                   0,                   0,   6877805.663232638,  -117.0547393070601,   105768.6612747675,   7611.174875755074,  -365.7629048900419,0.006271861642088055,  0.9999669828591988,-0.0005354995281706942,0.0003832233613562453,0.008099356244869155,                   0,0.001639965137546127,                   0,-0.007636470354603738,                   0,0.002782556704321117,                   0,0,1,   1011.879737384596,   2.106975797229581,  0.3702622745200621,1,  -481.5829241758108,   810.9719868322134,   366.5000818853513, 0.04988433492435822,   1.322176833344155, -0.5112982293746222
                  15,   6877189.152040796,  -126.3768251653741,   114183.8772380132,   7611.559110793017,                   0,                   0,   6877684.396851521,  -125.4779981739687,   113379.7698288634,   7611.040678866606,  -365.7564090525639,0.006719811989227069,  0.9999614860808048,-0.0006273365612004856,0.0003884480878746033,0.008745393758455964,                   0,-0.006202657165155068,                   0,-0.0003310235988964798,                   0,0.004560851341621841,                   0,0,1,   1012.719596079228,    2.10720979368783,   0.367963635539532,1,  -481.6741355612304,   812.2550947788808,   365.8768112650969, 0.03972942557146188,   1.318384772593183, -0.5192910496146608
