sys.exec.out.time {s},target.sat.pos_eci[0] {m},target.sat.vel_eci[0] {m/s},target.sat.pos_eci[1] {m},target.sat.vel_eci[1] {m/s},target.sat.pos_eci[2] {m},target.sat.vel_eci[2] {m/s},chaser.sat.pos_eci[0] {m},chaser.sat.vel_eci[0] {m/s},chaser.sat.pos_eci[1] {m},chaser.sat.vel_eci[1] {m/s},chaser.sat.pos_eci[2] {m},chaser.sat.vel_eci[2] {m/s},chaser.sat.attNav.qHat[0] {--},chaser.sat.attNav.qHat[1] {--},chaser.sat.attNav.qHat[2] {--},chaser.sat.attNav.qHat[3] {--},chaser.sat.thruster.thrustAcc_eci[0] {m/s2},chaser.sat.imu.dVel[0] {m/s},chaser.sat.thruster.thrustAcc_eci[1] {m/s2},chaser.sat.imu.dVel[1] {m/s},chaser.sat.thruster.thrustAcc_eci[2] {m/s2},chaser.sat.imu.dVel[2] {m/s},chaser.sat.thruster.dVAccumulated {m/s},chaser.sat.guidance.currentWaypoint {--},chaser.sat.imu.isValid {--},chaser.sat.rangefinder.range {m},chaser.sat.rangefinder.azimuth {rad},chaser.sat.rangefinder.elevation {rad},chaser.sat.rangefinder.isValid {--},chaser.sat.relNav.xHat[0] {m},chaser.sat.relNav.xHat[1] {m},chaser.sat.relNav.xHat[2] {m},chaser.sat.relNav.xHat[3] {m/s},chaser.sat.relNav.xHat[4] {m/s},chaser.sat.relNav.xHat[5] {m/s}
                  16,    6877058.56306805,  -134.8010936661952,   121795.3648589363,   7611.414577079709,                   0,                   0,   6877192.087062172,  -133.8738146322152,   120959.6562140734,   7611.299597749778,   539.1619392301571,-0.01056786887829523,  0.9999583725033774,0.0009913781116363152,7.554198850125368e-05,0.009069990256020297,                   0,0.002573747258851045,                   0,0.002991062409331395,                   0,-0.004037750288747213,                   0,0,1,   1003.461062946989,   1.712270134274609, -0.5666656803845201,1,  -119.1236589741514,   837.7999992929598,  -539.2898530183039, 0.04015122934445996,  0.3652894847222872,  0.1618560852716291
                  17,    6876919.54990851,  -143.2251970397916,   129406.7032842556,   7611.260719615905,                   0,                   0,   6877054.001317897,  -142.2976457263065,   128570.8801758635,   7611.146771991248,    539.151041152086,-0.01122828504032537,  0.9999519549542941,0.001012120875147046,0.0001880931524321765,0.009748231397832848,                   0,0.004258471697646652,                   0,-0.001875215775409903,                   0,-0.0007732370071508203,                   0,0,1,   1003.670389384262,   1.712532077832307, -0.5664656192908016,1,  -119.0365978095689,   838.0258655170173,  -539.3530882690809, 0.04439792479461949,   0.353690138969213,  0.1439797654289718
                  18,   6876772.112732452,  -151.6491249668941,    137017.883190314,   7611.097538590075,                   0,                   0,    6876907.49182882,  -150.7213025281082,   136181.9466504093,   7610.984623293097,   539.1394826646616,-0.01188868744946352,  0.9999425637001693,0.0008801492979003598,0.0001469250654117565, 0.01068049862933501,                   0,-0.003508766127338052,                   0,-0.0001142281948241319,                   0,0.003947760699352357,                   0,0,1,   1003.895398147215,   1.710450457510236,   -0.56717683882778,1,  -118.5950570635428,   838.2593597438901,  -539.4845852166638, 0.07371294369245365,  0.3442853215639742,  0.1243530948760151
                  19,   6876616.251720498,  -160.0728671284479,   144628.8952536484,   7610.925034202111,                   0,                   0,   6876752.558774388,  -159.1447747199655,   143792.8463148692,   7610.813151853913,   539.1272637820407,-0.01254907529682057,  0.9999346185394031,0.0009095281031342776,-5.403585848578812e-05,  0.0113986176887283,                   0,-0.005041200874500085,                   0,0.001902078539347803,                   0,-0.003893586459958636,                   0,0,1,   1004.100221484475,   1.711536584907653, -0.5662823430950488,1,   -118.349875891348,    838.537459418218,  -539.5001738913317, 0.08611110087300695,  0.3391797987147725,  0.1149920997978533
                  20,    6876451.96706356,  -168.4964132056263,    152239.730151001,   7610.743206663327,                   0,                   0,   6876589.202344361,  -167.5680519844499,   151403.5698466065,   7610.632357883691,   539.1143845191908,-0.01320944777352526,   0.999928164722433,0.0007839942852926603,-0.0001783269953784327,  0.0119590529420287,                   0,-0.002183328702665659,                   0,-0.003758408128131737,                   0,-0.002545935353721505,                   0,0,1,   1004.298180015571,   1.712081036316738, -0.5656962201773458,1,  -118.2055997677365,   838.8579483118067,  -539.4224543232996, 0.09153514753394881,  0.3373460776805018,  0.1124105485090061
                  21,   6876279.258962889,  -176.9197528798425,   159850.3785593319,   7610.552056196451,                   0,                   0,   6876417.422738833,  -175.9911240043712,   159014.1079231999,   7610.442241603853,   539.1008448918859,-0.01386980407072514,  0.9999219667494647,0.000688046479006585,-0.0003370511788752303, 0.01246889732206035,                   0,0.001093703155617972,                   0,0.006316523598284727,                   0,-0.001647188822654261,                   0,0,1,   1004.527150629675,   1.712662372509735, -0.5663780569052188,1,  -118.2459194628295,   839.1026432000909,  -539.4288932412252, 0.08193788479766174,   0.331222380631911,  0.1054585514377796
                  22,    6876098.12763004,  -185.3428758327624,   167460.8311558291,   7610.351583035643,                   0,                   0,   6876237.220168208,  -184.4139804627906,   166624.4512224552,   7610.242803247243,    539.086644916711,-0.01453014337958759,  0.9999146451827945,0.0005833859209848315,-0.0004329685476485778, 0.01304509670605374,                   0,-0.0003789586751593586,                   0,0.000914837751685869,                   0,-0.00558712305397241,                   0,0,1,   1004.723288956684,   1.712787561770514, -0.5663235261723264,1,  -118.2663436995498,   839.3521055360081,  -539.4264139306808, 0.07619136840235097,  0.3256682116305561,  0.0989891023738354
                  23,   6875908.573286898,  -193.7657717463175,   175071.0786179204,   7610.141787426475,                   0,                   0,   6876048.594853199,  -192.8366110430331,   174234.5904224168,    7610.03404305811,   539.0717846110589,-0.01519046489130079,  0.9999076643237349,0.000376950727293753,-0.0002701729727735493, 0.01358115390409299,                   0,-0.001272816207579742,                   0,0.005840858695979081,                   0,0.001772062238130584,                   0,0,1,   1004.938227397004,   1.712651595978107,  -0.567124400976217,1,  -118.2619901419085,   839.5612469966869,   -539.492904370606, 0.07192967333012464,  0.3182975242564679, 0.08926835037180603
                  24,   6875710.596165668,  -202.1884303027174,   182681.1116232847,   7609.922669625946,                   0,                   0,   6875851.547024852,  -201.2590054287003,   181844.5162013791,   7609.815961292131,   539.0562639931305,-0.01585076779707469,  0.9998992497989981,8.858377683442689e-05,-0.0001005300147832957, 0.01419409377281758,                   0,-0.002892197945316905,                   0,0.001857041810994186,                   0,0.005898674114072758,                   0,0,1,   1005.151374886027,   1.711344386961687, -0.5663803919619482,1,  -118.0949635804193,   839.8901009294782,  -539.4078076481342,  0.0774038663056317,  0.3187948489406625, 0.08996239705449117
                  25,   6875504.196508853,  -210.6108411844627,   190290.9208498643,   7609.694229902455,                   0,                   0,   6875646.076924509,  -209.6811533036838,   189454.2192378977,   7609.588558216402,   539.0400830819361,-0.01651105128814204,  0.9998925093196517,0.0001890138296065043,8.035038752895128e-06, 0.01466062807865165,                   0,-0.004846625950042188,                   0, 0.00147209644695437,                   0,-0.0009092802036131704,                   0,0,1,   1005.355146148369,   1.711606408943971, -0.5665979623882614,1,  -117.9669545363404,   840.1585446602072,  -539.4058409197061, 0.08050168002775278,  0.3156832486442868, 0.08557513409427145
                  26,   6875289.374569294,  -219.0329940743571,   197900.4969758749,   7609.456468535837,                   0,                   0,   6875432.184803853,  -218.1030443521759,   197063.6902108012,   7609.351834109413,    539.023241897295,-0.01717131455575934,  0.9998850883403634,-6.480994859030565e-05,0.0001602750236170713, 0.01515850342782027,                   0,0.004626563787128148,                   0,0.003039157860642884,                   0,-0.00225860319463708,                   0,0,1,   1005.589342016781,   1.711801580658963, -0.5657499541746813,1,  -117.9554017164318,   840.5115993828517,   -539.254060572656, 0.07526180378961239,  0.3180142060423573, 0.09073281251576107
                  27,   6875066.130610136,  -227.4548786555202,   205509.8306798184,   7609.209385817347,                   0,                   0,   6875209.870924862,  -226.5246682586836,   204672.9197992027,   7609.105789261088,   539.0057404598346, -0.0178315567912079,  0.9998784414519003,-0.0006229519954350112,0.0003481313384552432, 0.01557539903505777,                   0,-0.003409954112371944,                   0,0.000287122635933705,                   0,-0.0006793675383839078,                   0,0,1,   1005.788204345748,    1.70957936099292,  -0.567103161306525,1,  -117.6862538231507,   840.8566754336654,  -539.1643727741467, 0.08462381152758275,  0.3193925671029608, 0.09206876068598163
                  28,   6874834.464904862,  -235.8764846114008,   213118.9126404933,   7608.952982049655,                   0,                   0,   6874979.135559828,  -234.9460147080417,   212281.8986825101,   7608.850423972765,   538.9875787909917,-0.01849177718579474,  0.9998730262931625,-0.0005015697728877911,0.0004323697424498114,  0.0159214564510065,                   0,-0.001988063846286368,                   0,0.0004013751041339503,                   0,-0.0003187937122470963,                   0,0,1,   1006.000016171623,   1.711616698380877, -0.5659163363346079,1,  -117.6912389438887,   841.2080590367805,  -539.0072268537547, 0.07949947344584772,   0.321101146949386, 0.09641125082574235
                  29,   6874594.377737228,  -244.2978016257885,   220727.7335370061,   7608.687257546847,                   0,                   0,   6874739.978991375,  -243.3670733854242,   219890.6175404389,   7608.585738557191,   538.9687569130115,-0.01915197493085362,  0.9998658031122574,-0.0005872280738180785,0.0005624845138258201,  0.0163619846302817,                   0,0.005887160093413023,                   0,-0.003191823478117699,                   0,-0.0003353075565360665,                   0,0,1,   1006.199763886778,   1.711350956437762, -0.5664481083812613,1,  -117.6496786515627,   841.5129823897763,  -538.9288571465066, 0.07761270362074663,  0.3201995596547303, 0.09624815641290344
                  30,   6874345.869401362,  -252.7188193828274,   228336.2840487837,   7608.412212634424,                   0,                   0,   6874492.401512428,  -251.7878339763576,   227499.0670530231,   7608.311733338533,   538.9492748489494,-0.01981214921774609,  0.9998597857903203,-0.0007226228477517571,0.0007554346620563824, 0.01671274645371882,0.003889670789675687,-0.0008884407435860654, 0.01447922152644256,0.002161542888197985,-0.0004718104875329249,-7.887348185735087e-06,0.0001500000000000234,0,1,   1006.419103439723,   1.710498721369592, -0.5658085735726621,1,  -117.5934847843347,   841.8713877467408,  -538.7721876528534, 0.07592687654776274,  0.3220749460153426,  0.1002431273172912
                  31,   6874088.940201658,   -261.139527567027,   235944.5548555839,   7608.127847649313,                   0,                   0,   6874236.405371059,   -260.204396494058,   235107.2451402365,   7608.042887871033,   538.9288967174464,-0.02094410962886456,  0.9998554726332906,-0.001018579908111036,0.0008423904582118996, 0.01694953446399117,0.003889670789675687,0.002691915753943314, 0.01447922152644256,0.003938100828947211,-0.0004718104875329249,0.0008682513844578355, 0.01515000000000001,0,1,   1006.616176743305,   1.711518229238096, -0.5653874391385366,1,  -117.6632276487858,   842.2396198939828,  -538.5608477348046, 0.06497980101620082,   0.310233555627504,  0.1065340735448431
                  32,   6873823.590452855,   -269.559915863278,   243552.5366375073,   7607.834162939856,                   0,                   0,   6873971.992825677,  -268.6206402860969,   242715.1497223857,   7607.764723265841,   538.9073866382436,-0.02207604438543825,  0.9998468720660666,-0.001030639510117729,0.0008947429219043634, 0.01744619262208173,0.003889670789675687,-0.0005348128899756537, 0.01447922152644256,0.0006265226327993079,-0.0004718104875329249,0.001031772007735854, 0.03015000000000008,0,1,   1006.834329953085,   1.710281357823981,  -0.565224378009584,1,  -117.7219220858116,   842.6121687771412,  -538.3290991585593, 0.05358789476052097,  0.2994227320867903,  0.1139707382192961
                  33,   6873549.820479999,  -277.9799739568608,   251160.2200750086,   7607.531158865792,                   0,                   0,   6873699.164200163,  -277.0365550276019,   250322.7714805027,   7607.477239864266,   538.8847446376902,-0.02320795209971754,  0.9998400673837063, -0.0011208164088637,0.0008800091738067079, 0.01782719856222218,0.003889670789675687,0.002267863905022094, 0.01447922152644256,0.002524861001558974,-0.0004718104875329249,0.0002586318392559134, 0.04514999999999996,0,1,   1006.980903043892,   1.710495623675105, -0.5650979001770507,1,  -117.7211547312303,   842.9437985403559,  -538.1427293995456, 0.04736917204684034,  0.2867333065392332,  0.1181635453038559
                  34,   6873267.630618445,  -286.3996915334617,   258767.5958489078,   7607.218835798303,                   0,                   0,   6873417.919828736,  -285.4521303939312,   257930.1010959664,   7607.180438019051,    538.860970743521,-0.02433983138397237,  0.9998297019722573,-0.0007434091801338757,0.0007631301809694595, 0.01842368120613187,0.003889670789675687,-4.648449387819719e-05, 0.01447922152644256,0.001856804119846799,-0.0004718104875329249,-0.004356853851516795, 0.06014999999999984,0,1,   1007.146797776477,   1.711463202568982, -0.5653561017667039,1,  -117.8074541505949,   843.1720278165614,  -538.0771206036451, 0.03772866766045275,  0.2701642448793447,  0.1168189512489689
                  35,   6872977.021213888,   -294.819058279184,   266374.6546404017,   7606.897194119969,                   0,                   0,    6873128.26005594,  -293.8673560606863,    265537.129250514,   7606.874318094446,   538.8360649848609,-0.02547168085049405,   0.999823069359713,-0.0006617077492717757,0.0005924159943840944, 0.01878938961932755,0.003889670789675687,-0.0001408465431875105, 0.01447922152644256,0.001073207282088341,-0.0004718104875329249,0.003823059251389916, 0.07514999999999988,0,1,   1007.304438400969,   1.710626527800953, -0.5645126014756634,1,  -117.8874227686243,   843.4209037182329,  -537.9590960796056, 0.02873579034183663,  0.2552839660151305,  0.1178277548095108
                  36,    6872677.99262228,    -303.23806388056,   273981.3871310751,   7606.566234224798,                   0,                   0,   6872830.184807012,  -302.2840498491967,   273143.8450270235,   7606.552075232336,   538.8100795036881,-0.02638174819247893,  0.9998108571243118,-0.0008240232965026043,0.0003154808102725264, 0.01942862408443161,                   0,-0.002276100318097458,                   0,0.000572770550647358,                   0,0.003634631990067665, 0.08294999999999997,0,1,   1007.453634761522,   1.709713320535809, -0.5633881682694885,1,  -117.9281666157174,   843.7386118628522,  -537.7236188826406, 0.02385664843221003,    0.25100277931062,  0.1233803532097899
                  37,   6872370.545209948,  -311.6566980245648,   281587.7840029136,   7606.225956518207,                   0,                   0,    6872523.69153338,  -310.7024348214017,   280750.2282616022,   7606.212841074769,   538.7833677650293,-0.02704172366959256,  0.9998030364477367,-0.001022930794075782,0.0002003513657037337, 0.01981922757845263,                   0,0.002346322308272339,                   0,0.0006233594383701999,                   0,0.0003530931982771812, 0.08294999999999997,0,1,   1007.576347592173,    1.70989436430112, -0.5645908673676771,1,  -117.9612691407749,   843.9791469022879,  -537.6001244661749, 0.02232846459593531,  0.2502703102553899,  0.1239090275366096
                  38,   6872054.679353494,  -320.0749503986289,   289193.8359383134,   7605.876361417016,                   0,                   0,   6872208.780064253,  -319.1204391396616,   288356.2676035422,   7605.864290024422,   538.7559960673912,-0.02770166601743973,   0.999793264097123,-0.001152934056651626,-9.795441956180472e-05, 0.02030000527125854,                   0,0.001159428089395237,                   0,0.0006169827908644267,                   0,0.002505536633720499, 0.08294999999999997,0,1,   1007.732794258376,   1.710583959339558, -0.5632614857895206,1,  -118.1155345187526,   844.2835146725988,  -537.3562550915125, 0.01611998360558637,  0.2523984999318274,  0.1288834994246666
                  39,   6871730.395439846,  -328.4928106906499,   296799.5336200924,   7605.517449349481,                   0,                   0,   6871885.450785424,   -327.538052492609,   295961.9537361628,    7605.50642250841,   538.7279644443066,-0.02836157442764489,  0.9997795406814763,-0.001404314116469592,-0.000162471989100143, 0.02094926107171965,                   0,0.0009839780197222782,                   0,0.001606514471531716,                   0,0.003274739952351662, 0.08294999999999997,0,1,   1007.878907389052,   1.710716735026504, -0.5641110562317062,1,  -118.2655703222614,   844.5559294546881,  -537.1641585610079,  0.0102772389806431,  0.2532762059205431,  0.1316508424492529
